country_name,date,parameter,product,value,unit
Costa Rica,2023-09-01,Net Electricity Production,Wind,111.341,GWh
Costa Rica,2023-09-01,Net Electricity Production,Solar,6.5675,GWh
Costa Rica,2023-09-01,Net Electricity Production,Geothermal,113.8318,GWh
Costa Rica,2023-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",909.4419,GWh
Costa Rica,2023-09-01,Total Imports,Electricity,0.0,GWh
Costa Rica,2023-09-01,Total Exports,Electricity,0.0,GWh
Costa Rica,2023-09-01,Distribution Losses,Electricity,0.0,GWh
Costa Rica,2023-09-01,Final Consumption (Calculated),Electricity,911.0392,GWh
Mexico,2023-09-01,Net Electricity Production,Electricity,37394.9916,GWh
Mexico,2023-09-01,Net Electricity Production,Nuclear,771.6908,GWh
Mexico,2023-09-01,Net Electricity Production,Total Combustible Fuels,31116.8311,GWh
Mexico,2023-09-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",2309.9516,GWh
Mexico,2023-09-01,Net Electricity Production,Oil and Petroleum Products,5510.3373,GWh
Mexico,2023-09-01,Net Electricity Production,Natural Gas,23160.2688,GWh
Mexico,2023-09-01,Net Electricity Production,Combustible Renewables,16.1017,GWh
Mexico,2023-09-01,Net Electricity Production,Other Combustible Non-Renewables,120.1717,GWh
Mexico,2023-09-01,Net Electricity Production,Hydro,1950.6154,GWh
Mexico,2023-09-01,Net Electricity Production,Wind,1559.6769,GWh
Mexico,2023-09-01,Net Electricity Production,Solar,1497.5263,GWh
Mexico,2023-09-01,Net Electricity Production,Geothermal,333.9012,GWh
Mexico,2023-09-01,Net Electricity Production,Not Specified,164.75,GWh
Mexico,2023-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5357.8215,GWh
Mexico,2023-09-01,Distribution Losses,Electricity,3610.7504,GWh
Mexico,2023-09-01,Final Consumption (Calculated),Electricity,33784.2412,GWh
Argentina,2023-09-01,Net Electricity Production,Electricity,9941.7369,GWh
Argentina,2023-09-01,Net Electricity Production,Nuclear,812.8068,GWh
Argentina,2023-09-01,Net Electricity Production,Total Combustible Fuels,5165.8023,GWh
Argentina,2023-09-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",73.0556,GWh
Argentina,2023-09-01,Net Electricity Production,Oil and Petroleum Products,220.2364,GWh
Argentina,2023-09-01,Net Electricity Production,Natural Gas,4667.1383,GWh
Argentina,2023-09-01,Net Electricity Production,Combustible Renewables,205.372,GWh
Argentina,2023-09-01,Net Electricity Production,Hydro,2536.3148,GWh
Argentina,2023-09-01,Net Electricity Production,Wind,1134.7376,GWh
Argentina,2023-09-01,Net Electricity Production,Solar,292.0754,GWh
Argentina,2023-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4168.4998,GWh
Brazil,2023-09-01,Net Electricity Production,Electricity,57950.8855,GWh
Brazil,2023-09-01,Net Electricity Production,Nuclear,1160.1854,GWh
Brazil,2023-09-01,Net Electricity Production,Total Combustible Fuels,10459.5432,GWh
Brazil,2023-09-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",1091.3584,GWh
Brazil,2023-09-01,Net Electricity Production,Oil and Petroleum Products,476.7774,GWh
Brazil,2023-09-01,Net Electricity Production,Natural Gas,2186.9219,GWh
Brazil,2023-09-01,Net Electricity Production,Combustible Renewables,6564.5526,GWh
Brazil,2023-09-01,Net Electricity Production,Other Combustible Non-Renewables,139.9328,GWh
Brazil,2023-09-01,Net Electricity Production,Hydro,32342.6468,GWh
Brazil,2023-09-01,Net Electricity Production,Wind,9267.6513,GWh
Brazil,2023-09-01,Net Electricity Production,Solar,4720.8587,GWh
Brazil,2023-09-01,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",52895.7095,GWh
Peru,2023-09-01,Net Electricity Production,Electricity,5081.8668,GWh
Peru,2023-09-01,Net Electricity Production,Total Combustible Fuels,3174.8236,GWh
Peru,2023-09-01,Net Electricity Production,"Coal, Peat and Manufactured Gases",73.3917,GWh
Peru,2023-09-01,Net Electricity Production,Oil and Petroleum Products,78.1456,GWh
